,day,inventory_before,action,demand,sold,stockout,inventory_after,reward,revenue,purchase_cost,holding_cost,stockout_penalty,regime,day_name
0,1,11,0,3,3,0,8,26,30,0,4,0,low,Mon
1,2,8,0,1,1,0,7,6.5,10,0,3.5,0,low,Tue
2,3,7,0,0,0,0,7,-3.5,0,0,3.5,0,low,Wed
3,4,7,0,2,2,0,5,17.5,20,0,2.5,0,low,Thu
4,5,5,0,0,0,0,5,-2.5,0,0,2.5,0,medium,Fri
5,6,5,1,5,5,0,0,45,50,5,0,0,medium,Sat
6,7,1,5,2,1,1,0,-18,10,25,0,3,medium,Sun
7,8,5,2,3,3,0,2,19,30,10,1,0,medium,Mon
8,9,4,4,3,3,0,1,9.5,30,20,0.5,0,medium,Tue
9,10,5,0,4,4,0,1,39.5,40,0,0.5,0,medium,Wed
10,11,1,5,3,1,2,0,-21,10,25,0,6,medium,Thu
11,12,5,0,3,3,0,2,29,30,0,1,0,medium,Fri
12,13,2,4,2,2,0,0,0,20,20,0,0,medium,Sat
13,14,4,2,4,4,0,0,30,40,10,0,0,low,Sun
14,15,2,2,2,2,0,0,10,20,10,0,0,low,Mon
15,16,2,4,0,0,0,2,-21,0,20,1,0,medium,Tue
16,17,6,0,6,6,0,0,60,60,0,0,0,medium,Wed
17,18,0,3,3,0,3,0,-24,0,15,0,9,medium,Thu
18,19,3,3,4,3,1,0,12,30,15,0,3,medium,Fri
19,20,3,2,1,1,0,2,-1,10,10,1,0,medium,Sat
20,21,4,2,0,0,0,4,-12,0,10,2,0,high,Sun
21,22,6,3,4,4,0,2,24,40,15,1,0,high,Mon
22,23,5,3,5,5,0,0,35,50,15,0,0,high,Tue
23,24,3,4,6,3,3,0,1,30,20,0,9,high,Wed
24,25,4,3,8,4,4,0,13,40,15,0,12,high,Thu
25,26,3,4,8,3,5,0,-5,30,20,0,15,high,Fri
26,27,4,4,6,4,2,0,14,40,20,0,6,high,Sat
27,28,4,3,2,2,0,2,4,20,15,1,0,high,Sun
28,29,5,2,1,1,0,4,-2,10,10,2,0,high,Mon
29,30,6,1,5,5,0,1,44.5,50,5,0.5,0,high,Tue
